birthState,loc1,dist,statefip,statename,birthStateName
1,1,0,1,"Alabama","Alabama"
1,2,3331.1461,2,"Alaska","Alabama"
1,4,1447.6543,4,"Arizona","Alabama"
1,5,368.08536,5,"Arkansas","Alabama"
1,6,1858.6389,6,"California","Alabama"
1,8,1118.5454,8,"Colorado","Alabama"
1,9,960.34436,9,"Connecticut","Alabama"
1,10,761.93109,10,"Delaware","Alabama"
1,11,679.50692,11,"District of Columbia","Alabama"
1,12,470.23048,12,"Florida","Alabama"
1,13,168.02252,13,"Georgia","Alabama"
1,15,4348.412,15,"Hawaii","Alabama"
1,16,1705.9315,16,"Idaho","Alabama"
1,17,578.67458,17,"Illinois","Alabama"
1,18,493.89781,18,"Indiana","Alabama"
1,19,706.16761,19,"Iowa","Alabama"
1,20,661.18494,20,"Kansas","Alabama"
1,21,343.24087,21,"Kentucky","Alabama"
1,22,320.21736,22,"Louisiana","Alabama"
1,23,1200.0295,23,"Maine","Alabama"
1,24,698.0542,24,"Maryland","Alabama"
1,25,1054.4614,25,"Massachusetts","Alabama"
1,26,695.18071,26,"Michigan","Alabama"
1,27,917.06948,27,"Minnesota","Alabama"
1,28,166.35124,28,"Mississippi","Alabama"
1,29,482.4353,29,"Missouri","Alabama"
1,30,1599.8294,30,"Montana","Alabama"
1,31,808.9286,31,"Nebraska","Alabama"
1,32,1680.7715,32,"Nevada","Alabama"
1,33,1084.1573,33,"New Hampshire","Alabama"
1,34,851.94231,34,"New Jersey","Alabama"
1,35,1128.0968,35,"New Mexico","Alabama"
1,36,886.61083,36,"New York","Alabama"
1,37,441.12284,37,"North Carolina","Alabama"
1,38,1187.9859,38,"North Dakota","Alabama"
1,39,559.35068,39,"Ohio","Alabama"
1,40,601.84213,40,"Oklahoma","Alabama"
1,41,2068.7532,41,"Oregon","Alabama"
1,42,744.45674,42,"Pennsylvania","Alabama"
1,44,1031.8784,44,"Rhode Island","Alabama"
1,45,338.12379,45,"South Carolina","Alabama"
1,46,1005.4423,46,"South Dakota","Alabama"
1,47,194.67498,47,"Tennessee","Alabama"
1,48,637.98163,48,"Texas","Alabama"
1,49,1477.8405,49,"Utah","Alabama"
1,50,1070.8235,50,"Vermont","Alabama"
1,51,602.42383,51,"Virginia","Alabama"
1,53,2064.6564,53,"Washington","Alabama"
1,54,522.52885,54,"West Virginia","Alabama"
1,55,749.82621,55,"Wisconsin","Alabama"
1,56,1286.5542,56,"Wyoming","Alabama"
2,1,3331.1461,1,"Alabama","Alaska"
2,2,0,2,"Alaska","Alaska"
2,4,2531.8561,4,"Arizona","Alaska"
2,5,3017.3481,5,"Arkansas","Alaska"
2,6,2205.843,6,"California","Alaska"
2,8,2370.897,8,"Colorado","Alaska"
2,9,3318.249,9,"Connecticut","Alaska"
2,10,3346.8947,10,"Delaware","Alaska"
2,11,3323.6416,11,"District of Columbia","Alaska"
