,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico
Alabama,0,518,2801,438,4591,3597,1054,39,174,12870,15589,484,84,1280,966,148,476,2055,1462,0,647,483,537,976,8401,2378,540,268,397,158,147,1099,1395,3287,4,1744,541,315,1202,183,4636,84,8547,5945,315,124,3426,495,83,572,639,0
Alaska,419,0,2743,413,2155,2102,8,0,0,1388,917,1509,1179,1400,138,66,378,115,515,47,485,241,1025,363,191,882,986,34,458,45,67,197,415,1562,112,1200,661,4317,553,0,715,0,1137,2375,494,0,1235,3520,0,484,0,0
Arizona,1915,910,0,602,33670,7987,1204,115,204,4542,2255,2167,3852,5818,3009,2021,1801,1480,276,765,2240,1554,4028,2176,674,2009,1787,1351,6999,704,1626,3284,3541,2622,530,2432,3631,7736,3269,50,1460,241,2886,18628,6827,205,4162,14252,272,2883,934,195
Arkansas,1051,722,1487,0,2573,1442,51,0,0,3239,1900,0,496,1188,1271,410,1507,397,1653,0,785,222,755,621,696,8166,19,236,49,569,0,352,52,1897,464,583,8526,436,1486,0,1382,0,4841,14377,896,0,1002,953,288,292,392,0
California,2659,3455,68516,3728,0,28288,3870,551,3803,26888,16745,10456,21018,16518,6811,4408,5660,2052,5743,850,7924,13901,11239,4915,2066,8156,4991,4148,50707,1263,9613,7524,25255,17536,1040,8799,8330,43058,11568,2219,12103,2073,9682,86164,18025,1380,21210,55467,524,6642,1604,520
Colorado,1672,1847,11517,3255,18755,0,1105,0,336,15746,3497,3164,1505,3208,4695,4856,3808,1643,2397,840,1168,1174,3337,2605,284,8782,2921,4835,3724,385,1505,4877,4553,5471,522,2216,4039,3292,4822,504,1622,797,5410,21509,4181,649,4557,10122,798,3321,5632,722
Connecticut,747,0,503,159,6366,1498,0,487,262,18291,5574,114,1905,1911,722,23,322,327,584,1734,1890,14224,1388,342,0,361,323,348,198,1298,2187,55,14420,2702,0,2510,0,157,3891,4791,6800,0,1784,3762,720,2251,3254,1785,639,614,12,1008
Delaware,826,0,49,126,1143,190,1015,0,182,4124,520,52,0,9,868,0,0,389,53,29,5811,887,86,0,0,235,0,0,98,238,1720,0,1328,1988,0,996,0,0,5999,0,978,0,53,1275,61,0,1306,131,419,211,0,0
District of Columbia ,0,74,26,0,5063,1119,506,136,0,983,571,768,0,1020,32,382,350,175,196,235,21093,1557,256,141,99,461,0,100,43,95,1187,30,2802,2031,53,789,0,226,1336,45,743,0,203,1059,149,134,11821,1837,328,109,0,0
Florida,14298,1172,6701,3966,22464,14017,4563,1122,1789,0,51020,3085,1406,13561,8650,1931,3991,7426,2878,2082,11989,9455,12601,5720,3369,7112,1263,1111,4018,3806,13591,2196,24084,37585,1355,15037,5489,3824,17029,657,15772,2128,26724,37262,2743,2105,20272,8084,1722,5593,1159,5916
Georgia,18433,565,3149,929,11753,8239,2606,118,647,35350,0,2192,436,4106,4525,140,1072,3638,5901,235,3676,2988,1477,727,3358,1919,892,982,1511,533,1817,232,7994,17020,1194,5178,1590,1203,4255,739,16110,968,17439,14235,2665,170,7894,5899,582,2016,40,173
Hawaii,627,1029,591,468,12848,3356,472,0,124,3008,2335,0,0,459,47,689,564,402,1117,55,892,257,496,241,489,322,225,420,4959,151,305,313,1181,3402,204,735,931,2729,783,0,857,0,1515,7986,2533,98,3116,3416,42,449,55,212
Idaho,0,497,2733,0,4224,1268,0,0,0,1594,193,1027,0,1093,887,111,449,2215,69,308,470,44,509,544,0,276,2157,19,875,0,255,665,491,244,433,334,216,5745,110,42,0,297,148,3494,8574,0,166,11911,0,129,367,0
Illinois,3310,1024,13247,3359,22165,7783,1513,191,1066,27622,6146,583,120,0,31556,15699,2839,5108,2205,180,1827,3415,10193,8454,3245,20041,549,1696,2938,0,972,482,5977,6544,467,9797,3201,2022,3659,293,3454,841,9857,19241,1737,75,7025,5382,564,25155,214,594
Indiana,1874,165,2555,1241,6313,2945,237,50,146,11784,4151,306,521,16223,0,1251,731,11241,458,204,1048,819,12702,1388,2858,3462,391,669,850,327,312,0,2007,3506,113,14252,813,854,2045,0,3095,144,4928,9704,355,31,2259,1118,1227,2663,227,0
Iowa,704,26,3049,119,2461,2385,86,205,162,3538,1995,586,178,7727,311,0,3704,265,100,0,322,79,506,4626,70,4904,142,6072,508,14,163,434,2352,1976,166,2395,603,139,365,0,1036,3275,588,6379,754,53,1388,647,0,3072,30,0
Kansas,357,800,3802,1072,4826,5071,79,747,0,2970,1110,1385,571,2047,918,2274,0,3016,1056,67,573,747,1825,936,583,21037,1031,4355,412,41,248,378,1262,1815,306,803,5393,899,1065,0,1091,906,796,12049,964,0,1875,1318,113,1186,675,0
Kentucky,4216,162,1265,831,2010,2754,233,94,110,11330,2027,170,40,3289,9224,393,739,0,3041,512,745,399,2221,443,251,2042,26,607,846,270,112,129,986,3906,0,16598,214,942,921,86,1408,57,13720,3841,368,740,2431,475,1061,1661,568,0
Louisiana,2837,83,1416,2311,4441,1216,597,468,0,4389,3082,320,264,2373,747,360,1097,722,0,38,1281,633,1254,382,12049,2063,106,199,657,0,353,524,2069,2454,778,1463,2107,238,986,0,1913,408,2226,29108,241,24,2609,1278,572,518,72,0
Maine,0,16,353,27,1294,912,1342,101,61,2783,89,124,0,0,128,101,0,118,35,0,990,3188,410,249,52,182,54,7,0,4016,101,257,731,1235,0,761,0,406,916,606,192,0,576,815,98,455,535,421,74,186,15,0
Maryland,493,548,2955,470,11042,3454,1182,5639,12735,15173,5797,574,75,3011,1192,0,871,1689,516,377,0,3439,1174,1330,391,682,0,579,474,423,2788,162,7775,8717,281,2272,871,327,20660,521,7826,144,1470,13777,743,357,28366,4526,3876,579,0,202
